Date,Details,Transaction Type,Price
08/31/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.06
08/31/2020,SPOTIFY USA,Debit Card,-5.37
08/31/2020,WWW.G2G.COM,Debit Card,-2.02
08/31/2020,VENMO,Debit Card,-16.00
08/31/2020,NINJA GRILL,Debit Card,-10.50
08/28/2020,DOMINO'S 2301,Debit Card,-9.99
08/27/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.18
08/27/2020,VENMO            PAYMENT,Electronic Debit,-31.54
08/27/2020,VENMO            PAYMENT,Electronic Debit,-3.29
08/27/2020,RIOT* LW0725BDPL6Y,Debit Card,-5.92
08/27/2020,APPLE.COM/BILL,Debit Card,-8.59
08/26/2020,VENMO            PAYMENT,Electronic Debit,-18.40
08/26/2020,VENMO            PAYMENT,Electronic Debit,-1.50
08/26/2020,WEBULL FINANCIAL ACH,Direct Deposit,258.80
08/25/2020,VENMO            PAYMENT,Electronic Debit,-17.90
08/25/2020,VENMO            PAYMENT,Electronic Debit,-16.50
08/25/2020,VENMO            PAYMENT,Electronic Debit,-1.89
08/25/2020,VENMO            PAYMENT,Electronic Debit,-1.75
08/25/2020,VENMO,Debit Card,-29.00
08/24/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.71
08/24/2020,INTERNATIONAL TRANSACTION FEE,Fee,-3.37
08/24/2020,VENMO            PAYMENT,Electronic Debit,-20.39
08/24/2020,VENMO            PAYMENT,Electronic Debit,-18.82
08/24/2020,Acorns Invest    Transfer,Electronic Debit,-5.00
08/24/2020,VENMO            PAYMENT,Electronic Debit,-2.03
08/24/2020,VENMO            PAYMENT,Electronic Debit,-1.88
08/24/2020,CHEGG  ORDER,Debit Card,-16.07
08/24/2020,FTP*BUYRIFTS,Debit Card,-112.49
08/24/2020,RIOT* LW0LLDPL7L6U,Debit Card,-23.76
08/24/2020,COINBASE,Debit Card,-100.00
08/24/2020,VENMO,Debit Card,-24.00
08/24/2020,VENMO,Debit Card,-7.00
08/21/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.37
08/21/2020,SHELL SERVICE S,ATM/POS 324101,-1.39
08/21/2020,G2A.COM,Debit Card,-12.40
08/21/2020,VENMO,Debit Card,-4.00
08/21/2020,HUNTINGTON NTNBN DIR DEP,Direct Deposit,623.60
08/19/2020,STEAMGAMES.COM42595229,Debit Card,-10.74
08/18/2020,EBAY O*13-05583-82990,Debit Card,-25.37
08/18/2020,EBAY O*13-05583-82989,Debit Card,-13.76
08/18/2020,EBAY O*13-05583-82988,Debit Card,-26.17
08/18/2020,STEAMGAMES.COM 4259522,Debit Card,-37.61
08/18/2020,STEAMGAMES.COM42595229,Debit Card,-32.25
08/18/2020,MERCHANDISE RET     STEAMGAMES,Debit Card,32.25
08/17/2020,PAYPAL           INST XFER,Electronic Debit,-373.00
08/17/2020,MEIJER 025 2055 W,ATM/POS 12,-57.32
08/17/2020,INTERNET TFR FRM SAVINGS,Transfer,100.00
08/14/2020,Acorns Invest    Transfer,Electronic Debit,-6.64
08/14/2020,BPMSUPREME.COM,Debit Card,-9.99
08/12/2020,COLLEGE TRANSCRIPT,Debit Card,-5.00
08/10/2020,TD AMERITRADE    ACH IN,Electronic Debit,-350.00
08/10/2020,Acorns Invest    Transfer,Electronic Debit,-5.75
08/10/2020,Subscription     Acorns,Electronic Debit,-2.00
08/10/2020,RIOT* AN0W4U74EZK2,Debit Card,-52.99
08/10/2020,THE HOME DEPOT #27,ATM/POS 190322,-11.13
08/10/2020,D&W FRESH 151 West,ATM/POS 6300,-49.67
08/10/2020,STEAMGAMES.COM 4259522,Debit Card,-32.24
08/10/2020,AGI*LIABILITYINSURANCE,Debit Card,-129.00
08/10/2020,DUNKIN #353288 Q35,Debit Card,-1.79
08/10/2020,APPLE.COM/BILL,Debit Card,-6.44
08/10/2020,MERCHANDISE RET     THE HOME D,Credit 190275,5.57
08/07/2020,PAYPAL           INST XFER,Electronic Debit,-27.00
08/07/2020,RIOTGAM*LOL LN0XN5E125,Debit Card,-37.10
08/07/2020,HUNTINGTON NTNBN DIR DEP,Direct Deposit,1175.25
08/06/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.71
08/06/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.71
08/06/2020,COLUMBIA GAS OH  SERV PYMT,Electronic Debit,-35.49
08/06/2020,Money Sent to MONIQUE FANG,Electronic Debit,-5.00
08/06/2020,RIOT* LW0W0E0F5BMU,Debit Card,-23.81
08/06/2020,RIOT* LW01MWRRJ6VV,Debit Card,-23.81
08/06/2020,STEAMGAMES.COM 4259522,Debit Card,-21.49
08/06/2020,Money Received from MONIQUE YI,Direct Deposit,5.00
08/06/2020,INTERNET TFR FRM SAVINGS,Transfer,20.00
08/05/2020,DUNKIN #353288 Q35,Debit Card,-1.79
08/04/2020,AMZN MKTP US*MF2DH63X0,Debit Card,-31.31
08/03/2020,MCDONALD'S F10729,Debit Card,-6.03
08/03/2020,DUNKIN #353288 Q35,Debit Card,-1.79
08/03/2020,AMZN MKTP US*MF6UZ40B1,Debit Card,-31.78
08/03/2020,INTERNET TFR FRM SAVINGS,Transfer,10.00
08/03/2020,INTERNET TFR FRM SAVINGS,Transfer,30.00
08/03/2020,VENMO            CASHOUT,Direct Deposit,123.26
