Date,Details,Transaction Type,Price
07/16/2020,INTERNET TFR FRM SAVINGS,Transfer,300.00
07/15/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/14/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.06
07/14/2020,WWW.G2G.COM,Debit Card,-2.08
07/14/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/13/2020,PAYPAL           INST XFER,Electronic Debit,-152.85
07/13/2020,COINBASE.COM     8889087930,Electronic Debit,-82.72
07/13/2020,MCDONALD'S F10729,Debit Card,-8.14
07/13/2020,Money Sent to MONIQUE FANG,Electronic Debit,-10.00
07/13/2020,MENUBUBBLE LLC FOOD,Debit Card,-219.72
07/13/2020,RIOTGAM*LOL LN0SUJBZ1X,Debit Card,-5.30
07/13/2020,RIOTGAM*LOL LN0EGHTKQP,Debit Card,-10.60
07/13/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/13/2020,STATEOFMICHIGAN  PMT/REFUND,Direct Deposit,64.00
07/10/2020,TD AMERITRADE    ACH IN,Electronic Debit,-312.00
07/10/2020,WEBULL FINANCIAL ACH,Electronic Debit,-100.00
07/10/2020,Acorns Invest    Transfer,Electronic Debit,-6.44
07/10/2020,Subscription     Acorns,Electronic Debit,-2.00
07/10/2020,INTERNET TFR TO  SAVINGS,Transfer,-500.00
07/10/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/10/2020,HUNTINGTON NTNBN DIR DEP,Direct Deposit,1261.20
07/09/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/09/2020,INTERNET TFR FRM SAVINGS,Transfer,100.00
07/08/2020,MENUBUBBLE LLC FOOD,Debit Card,-28.65
07/08/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/08/2020,SKYLINE CHILI 09,Debit Card,-15.00
07/07/2020,PAYPAL           INST XFER,Electronic Debit,-27.00
07/07/2020,DUNKIN #353288 Q35,Debit Card,-2.85
07/07/2020,VENDING PATRON VENDING,Debit Card,-1.85
07/06/2020,Acorns Invest    Transfer,Electronic Debit,-5.21
07/06/2020,SUNOCO 0550922,ATM/POS 625603,-25.40
07/06/2020,SHOOT POI SHOOT PO,ATM/POS 996000,-95.46
07/06/2020,THE CONE,Debit Card,-3.95
07/06/2020,KINGS MILL MARAT,ATM/POS 10032,-3.83
07/06/2020,TACO BELL #28476,Debit Card,-12.11
07/06/2020,VENMO,Debit Card,-7.00
07/06/2020,MENUBUBBLE LLC FOOD,Debit Card,-191.07
07/06/2020,WENDY'S  #36,Debit Card,-10.01
07/06/2020,APPLE.COM/BILL,Debit Card,-8.59
07/06/2020,IRS  TREAS 310     TAX REF,Direct Deposit,71.00
07/03/2020,CVS/PHARMACY #,ATM/POS 251817,-26.40
07/03/2020,ROBINHOOD        Funds,Direct Deposit,407.87
07/02/2020,Money Sent to MONIQUE FANG,Electronic Debit,-100.00
07/02/2020,RIOTGAM*LOL LN05FS5GLU,Debit Card,-5.30
07/02/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/02/2020,USA*VEND AT AIR SERV,Debit Card,-1.75
07/02/2020,CKO*PATREON* MEMBERSHI,Debit Card,-20.00
07/02/2020,INTERNET TFR FRM SAVINGS,Transfer,100.00
07/01/2020,Acorns Invest    Transfer,Electronic Debit,-8.21
07/01/2020,RIOTGAM*LOL LN061V1DM2,Debit Card,-10.60
07/01/2020,SPOTIFY USA,Debit Card,-5.37
07/01/2020,DUNKIN #353288 Q35,Debit Card,-1.79
