Date,Details,Transaction Type,Price
07/31/2020,SPOTIFY USA,Debit Card,-5.37
07/31/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/31/2020,INTERNET TFR FRM SAVINGS,Transfer,30.00
07/30/2020,Acorns Invest    Transfer,Electronic Debit,-6.50
07/30/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/30/2020,INTERNET TFR FRM SAVINGS,Transfer,5.00
07/30/2020,INTERNET TFR FRM SAVINGS,Transfer,10.00
07/29/2020,PL*KohrRoyerGrif WEB PMTS,Electronic Debit,-1350.00
07/29/2020,WEBULL FINANCIAL ACH,Electronic Debit,-100.00
07/28/2020,SPEEDWAY  206 W GR,ATM/POS 88776,-30.06
07/28/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/28/2020,AMAZON.COM*MV36F0SG2,Debit Card,-37.34
07/28/2020,INTERNET TFR FRM SAVINGS,Transfer,500.00
07/27/2020,TD AMERITRADE    ACH IN,Electronic Debit,-321.00
07/27/2020,Acorns Invest    Transfer,Electronic Debit,-6.68
07/27/2020,CULVERS OF OKEMOS #536,Debit Card,-15.98
07/27/2020,APPLE.COM/BILL,Debit Card,-8.59
07/27/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/27/2020,SPARKFUN ELECTRONICS,Debit Card,-62.27
07/27/2020,MERCHANDISE RET     SPARKFUN E,Debit Card,62.27
07/24/2020,MCDONALD'S F12047,Debit Card,-16.40
07/24/2020,AMZN MKTP US*MV6XM75S0,Debit Card,-86.67
07/24/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/24/2020,ADAFRUIT INDUSTRIES,Debit Card,-64.11
07/24/2020,SPARKFUN ELECTRONICS,Debit Card,-49.91
07/24/2020,ADAFRUIT INDUSTRIES,Debit Card,-111.80
07/24/2020,MERCHANDISE RET     SPARKFUN E,Debit Card,63.86
07/24/2020,INTERNET TFR FRM SAVINGS,Transfer,200.00
07/24/2020,HUNTINGTON NTNBN DIR DEP,Direct Deposit,1187.59
07/23/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.06
07/23/2020,WWW.G2G.COM,Debit Card,-2.02
07/23/2020,CHEGG  ORDER,Debit Card,-16.07
07/23/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/23/2020,SPARKFUN ELECTRONICS,Debit Card,-63.86
07/23/2020,MOUSER ELECTRONICS INC,Debit Card,-9.62
07/22/2020,DUNKIN #353288 Q35,Debit Card,-2.85
07/22/2020,INTERNET TFR FRM SAVINGS,Transfer,90.00
07/22/2020,INTERNET TFR FRM SAVINGS,Transfer,100.00
07/21/2020,MCDONALD'S F12047,Debit Card,-7.83
07/21/2020,INTERNET TFR FRM SAVINGS,Transfer,100.00
07/20/2020,INTERNATIONAL TRANSACTION FEE,Fee,-0.06
07/20/2020,WWW.G2G.COM,Debit Card,-2.02
07/20/2020,MCDONALD'S F12047,Debit Card,-7.82
07/20/2020,AMZN MKTP US*MV2FB0LV2,Debit Card,-12.07
07/20/2020,SPARKFUN ELECTRONICS,Debit Card,-44.76
07/20/2020,SPARKFUN ELECTRONICS,Debit Card,-176.80
07/17/2020,DUNKIN #353288 Q35,Debit Card,-1.79
07/16/2020,COLUMBIA GAS OH  SERV PYMT,Electronic Debit,-34.44
07/16/2020,Acorns Invest    Transfer,Electronic Debit,-6.00
07/16/2020,DUNKIN #353288 Q35,Debit Card,-1.79
